branch_id,branch_code,branch_name,branch_type,ifsc_code,address,city,state,postal_code,country,phone_number,email,manager_name,opening_year,number_of_employees,status
1,BR0001,Kanpur Branch,Rural,BKAI126225,"H.No. 433, Chaudry Street",Kanpur,Uttar Pradesh,960013,India,8908386379,kanpur1@bankai.com,Harini Mall,2002,22,Active
2,BR0002,Lucknow Branch,Semi Urban,BKAI809570,"511, Chatterjee Marg",Lucknow,Uttar Pradesh,594078,India,6184959310,lucknow2@bankai.com,Harrison Rai,1997,35,Active
3,BR0003,Ghaziabad Branch,Corporate,BKAI329258,"52
Pant Path",Ghaziabad,Uttar Pradesh,419283,India,7648350305,ghaziabad3@bankai.com,Divya Kala,2011,9,Active
4,BR0004,Amritsar Branch,Corporate,BKAI539898,"72
Dewan Road",Amritsar,Punjab,884969,India,5328710122,amritsar4@bankai.com,Lakshmi Sidhu,2009,25,Active
5,BR0005,Mumbai Branch,Corporate,BKAI895667,"01/84
Choudhury Path",Mumbai,Maharashtra,627048,India,8148932528,mumbai5@bankai.com,Vrinda Bahl,2017,35,Active
6,BR0006,Varanasi Branch,Rural,BKAI325772,"H.No. 43, Khosla Nagar",Varanasi,Uttar Pradesh,171822,India,8248963834,varanasi6@bankai.com,Jai Kota,1998,13,Active
7,BR0007,Madurai Branch,Rural,BKAI988662,"H.No. 509, Karpe Circle",Madurai,Tamil Nadu,010310,India,1834738299,madurai7@bankai.com,Ranveer Chandra,2014,24,Active
8,BR0008,Ranchi Branch,Retail,BKAI662275,"65/667, Chaudhari Nagar",Ranchi,Jharkhand,651333,India,2624731781,ranchi8@bankai.com,Warjas Ganesan,2024,32,Active
9,BR0009,Hyderabad Branch,Semi Urban,BKAI969693,"73
Bhargava Marg",Hyderabad,Telangana,606474,India,8723430980,hyderabad9@bankai.com,Yadavi Wali,2023,31,Active
10,BR0010,Noida Branch,Corporate,BKAI148050,"H.No. 812, Bir Zila",Noida,Uttar Pradesh,619399,India,9169985435,noida10@bankai.com,Charita Shankar,2019,26,Inactive
11,BR0011,Surat Branch,Urban,BKAI205907,"H.No. 079
Chaudhry",Surat,Gujarat,838425,India,3542784980,surat11@bankai.com,Aishani D’Alia,2003,37,Active
12,BR0012,Kochi Branch,Rural,BKAI270555,"82/449, Oza Ganj",Kochi,Kerala,487401,India,4005242786,kochi12@bankai.com,Manthan Banik,2006,21,Active
13,BR0013,Noida Branch,Corporate,BKAI738720,"82/62
Morar Nagar",Noida,Uttar Pradesh,053315,India,9232260256,noida13@bankai.com,Lavanya Barad,2012,23,Active
14,BR0014,Thiruvananthapuram Branch,Semi Urban,BKAI383060,"375
Kari Road",Thiruvananthapuram,Kerala,036541,India,5868501429,thiruvananthapuram14@bankai.com,Hemani Murthy,2002,28,Active
15,BR0015,Delhi Branch,Retail,BKAI340174,"81/69
Kumar Ganj",Delhi,Delhi,608835,India,1595148465,delhi15@bankai.com,Rehaan Salvi,2020,28,Active
16,BR0016,Noida Branch,Semi Urban,BKAI321231,"29/946
Acharya Circle",Noida,Uttar Pradesh,436995,India,7738721489,noida16@bankai.com,Umang Issac,2023,28,Active
17,BR0017,Indore Branch,Urban,BKAI514850,"H.No. 037, Bora",Indore,Madhya Pradesh,693676,India,2016328708,indore17@bankai.com,Ucchal Wali,1999,24,Active
18,BR0018,Ludhiana Branch,Rural,BKAI665158,"98
Sehgal Marg",Ludhiana,Punjab,774348,India,3471434558,ludhiana18@bankai.com,Leela Dua,2018,35,Active
19,BR0019,Kolkata Branch,Corporate,BKAI479580,"H.No. 665, Shukla Circle",Kolkata,West Bengal,036690,India,7054668893,kolkata19@bankai.com,Vedika Balakrishnan,1999,40,Active
20,BR0020,Delhi Branch,Corporate,BKAI214975,"H.No. 62
Datta Chowk",Delhi,Delhi,699016,India,7204653755,delhi20@bankai.com,Finn Singhal,2015,18,Active
21,BR0021,Bhubaneswar Branch,Retail,BKAI725380,"80/531, Balasubramanian Nagar",Bhubaneswar,Odisha,309232,India,1937452991,bhubaneswar21@bankai.com,Devika Prashad,2007,32,Active
22,BR0022,Ranchi Branch,Rural,BKAI654816,"31/931
Dara Road",Ranchi,Jharkhand,586518,India,0671657262,ranchi22@bankai.com,Udyati Sarin,2012,8,Active
23,BR0023,Kanpur Branch,Semi Urban,BKAI814825,"H.No. 31
Seshadri Road",Kanpur,Uttar Pradesh,799650,India,5273545494,kanpur23@bankai.com,Frederick Khurana,2019,25,Active
24,BR0024,Coimbatore Branch,Rural,BKAI216970,"83
Swaminathan Chowk",Coimbatore,Tamil Nadu,014363,India,9578856855,coimbatore24@bankai.com,Vihaan Dara,2008,18,Active
25,BR0025,Bengaluru Branch,Corporate,BKAI624902,"H.No. 18, Handa Street",Bengaluru,Karnataka,749894,India,3435240824,bengaluru25@bankai.com,Jonathan Swaminathan,2011,14,Active
26,BR0026,Warangal Branch,Semi Urban,BKAI982554,"H.No. 947, Sastry Chowk",Warangal,Telangana,204711,India,7190229413,warangal26@bankai.com,Lajita Seshadri,2014,20,Active
27,BR0027,Jaipur Branch,Semi Urban,BKAI665579,"H.No. 96
Bhasin Road",Jaipur,Rajasthan,334123,India,8120679740,jaipur27@bankai.com,Ekavir Kaur,2024,8,Active
28,BR0028,Indore Branch,Retail,BKAI120422,"93/618
Dixit Ganj",Indore,Madhya Pradesh,210249,India,7174648877,indore28@bankai.com,Ekantika Krishna,2024,31,Active
29,BR0029,Warangal Branch,Retail,BKAI351083,"H.No. 399, Luthra Nagar",Warangal,Telangana,278742,India,7175655125,warangal29@bankai.com,Balhaar Sha,2002,13,Active
